UDI,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Power [W],Disipation,Type_H,Type_L,Type_M,Machine failure,TWF,HDF,PWF,OSF
1,M14860,298.1,308.6,1551,42.8,0,6951.5905601573495,10.5,False,False,True,0,0,0,0,0
2,L47181,298.2,308.7,1408,46.3,3,6826.722724152667,10.5,False,True,False,0,0,0,0,0
3,L47182,298.1,308.5,1498,49.4,5,7749.387542560967,10.399999999999977,False,True,False,0,0,0,0,0
4,L47183,298.2,308.6,1433,39.5,7,5927.504658915661,10.400000000000034,False,True,False,0,0,0,0,0
5,L47184,298.2,308.7,1408,40.0,9,5897.816608339237,10.5,False,True,False,0,0,0,0,0
6,M14865,298.1,308.6,1425,41.9,11,6252.554778807085,10.5,False,False,True,0,0,0,0,0
7,L47186,298.1,308.6,1558,42.4,14,6917.703247400628,10.5,False,True,False,0,0,0,0,0
8,L47187,298.1,308.6,1527,40.2,16,6428.264055922363,10.5,False,True,False,0,0,0,0,0
9,M14868,298.3,308.7,1667,28.6,18,4992.639989035923,10.399999999999977,False,False,True,0,0,0,0,0
10,M14869,298.5,309.0,1741,28.0,21,5104.878622573175,10.5,False,False,True,0,0,0,0,0
11,H29424,298.4,308.9,1782,23.9,24,4459.993426595285,10.5,True,False,False,0,0,0,0,0
12,H29425,298.6,309.1,1423,44.3,29,6601.41817101272,10.5,True,False,False,0,0,0,0,0
13,M14872,298.6,309.1,1339,51.1,34,7165.229332576968,10.5,False,False,True,0,0,0,0,0
14,M14873,298.6,309.2,1742,30.0,37,5472.654402553419,10.599999999999966,False,False,True,0,0,0,0,0
15,L47194,298.6,309.2,2035,19.6,40,4176.85215270275,10.599999999999966,False,True,False,0,0,0,0,0
16,L47195,298.6,309.2,1542,48.4,42,7815.528539894543,10.599999999999966,False,True,False,0,0,0,0,0
17,M14876,298.6,309.2,1311,46.6,44,6397.602111623327,10.599999999999966,False,False,True,0,0,0,0,0
18,M14877,298.7,309.2,1410,45.6,47,6733.061375173644,10.5,False,False,True,0,0,0,0,0
19,H29432,298.8,309.2,1306,54.5,50,7453.6380101520235,10.399999999999977,True,False,False,0,0,0,0,0
20,M14879,298.9,309.3,1632,32.5,55,5554.3358115467545,10.400000000000034,False,False,True,0,0,0,0,0
21,H29434,298.9,309.3,1375,42.7,58,6148.358622463025,10.400000000000034,True,False,False,0,0,0,0,0
22,L47201,298.8,309.3,1450,44.8,63,6802.595292573099,10.5,False,True,False,0,0,0,0,0
23,M14882,298.9,309.3,1581,30.7,65,5082.75133831639,10.400000000000034,False,False,True,0,0,0,0,0
24,L47203,299.0,309.4,1758,25.7,68,4731.3013681593,10.399999999999977,False,True,False,0,0,0,0,0
25,M14884,299.0,309.4,1561,37.3,70,6097.339157768725,10.399999999999977,False,False,True,0,0,0,0,0
26,L47205,299.0,309.5,1861,23.3,73,4540.7847176701025,10.5,False,True,False,0,0,0,0,0
27,L47206,299.1,309.5,1512,39.0,75,6175.114519896097,10.399999999999977,False,True,False,0,0,0,0,0
28,H29441,299.1,309.4,1811,24.6,77,4665.327922433914,10.299999999999955,True,False,False,0,0,0,0,0
29,L47208,299.1,309.4,1439,44.2,82,6660.574360679816,10.299999999999955,False,True,False,0,0,0,0,0
30,L47209,299.0,309.4,1693,30.1,84,5336.445417069278,10.399999999999977,False,True,False,0,0,0,0,0
31,M14890,299.1,309.5,1339,48.2,86,6758.592051471817,10.399999999999977,False,False,True,0,0,0,0,0
32,L47211,299.0,309.4,1798,25.5,89,4801.296052481281,10.399999999999977,False,True,False,0,0,0,0,0
33,L47212,299.0,309.4,1419,48.3,91,7177.251160464705,10.399999999999977,False,True,False,0,0,0,0,0
34,L47213,298.9,309.3,1665,32.5,93,5666.647748912589,10.400000000000034,False,True,False,0,0,0,0,0
35,M14894,298.8,309.1,1559,34.7,95,5665.056008634771,10.300000000000011,False,False,True,0,0,0,0,0
36,M14895,298.8,309.2,1452,48.6,98,7389.7799034800555,10.399999999999977,False,False,True,0,0,0,0,0
37,M14896,298.9,309.2,1581,36.7,101,6076.122935381482,10.300000000000011,False,False,True,0,0,0,0,0
38,L47217,298.8,309.1,1439,39.2,104,5907.115722593864,10.300000000000011,False,True,False,0,0,0,0,0
39,H29452,298.9,309.2,1379,50.7,106,7321.51309511755,10.300000000000011,True,False,False,0,0,0,0,0
40,L47219,298.8,309.1,1350,52.5,111,7422.0126441058865,10.300000000000011,False,True,False,0,0,0,0,0
41,L47220,298.8,309.1,1362,45.4,113,6475.325113873137,10.300000000000011,False,True,False,0,0,0,0,0
42,L47221,298.8,309.1,1368,50.8,115,7277.436550187683,10.300000000000011,False,True,False,0,0,0,0,0
43,M14902,298.8,309.1,1368,49.1,117,7033.900287681403,10.300000000000011,False,False,True,0,0,0,0,0
44,H29457,298.8,309.2,1372,48.5,120,6968.2619451723995,10.399999999999977,True,False,False,0,0,0,0,0
45,M14904,298.8,309.1,1472,47.5,125,7322.00527796661,10.300000000000011,False,False,True,0,0,0,0,0
46,L47225,298.8,309.1,1489,49.1,128,7656.050824822813,10.300000000000011,False,True,False,0,0,0,0,0
47,M14906,298.7,309.0,1843,25.8,130,4979.36152408675,10.300000000000011,False,False,True,0,0,0,0,0
48,L47227,298.8,309.1,1418,46.3,133,6875.20797077307,10.300000000000011,False,True,False,0,0,0,0,0
49,H29462,298.8,309.2,1425,53.9,135,8043.262591353267,10.399999999999977,True,False,False,0,0,0,0,0
50,M14909,298.9,309.2,1412,44.1,140,6520.815375497118,10.300000000000011,False,False,True,0,0,0,0,0
51,L47230,298.9,309.1,2861,4.6,143,1378.1748092277942,10.200000000000045,False,True,False,1,0,0,1,0
52,L47231,298.9,309.1,1383,54.9,145,7951.02543104387,10.200000000000045,False,True,False,0,0,0,0,0
53,H29466,298.8,309.0,1497,43.8,147,6866.327735538923,10.199999999999989,True,False,False,0,0,0,0,0
54,L47233,298.7,309.0,1565,35.1,152,5752.413228355591,10.300000000000011,False,True,False,0,0,0,0,0
55,L47234,298.7,309.0,1691,30.1,154,5330.141287811075,10.300000000000011,False,True,False,0,0,0,0,0
56,L47235,298.8,309.1,1512,40.7,156,6444.286178455671,10.300000000000011,False,True,False,0,0,0,0,0
57,L47236,298.8,309.1,1477,42.4,158,6558.053720417668,10.300000000000011,False,True,False,0,0,0,0,0
58,L47237,298.8,309.1,1513,40.3,160,6385.171876690622,10.300000000000011,False,True,False,0,0,0,0,0
59,M14918,298.8,309.0,1661,29.5,162,5131.215640985769,10.199999999999989,False,False,True,0,0,0,0,0
60,L47239,298.8,309.1,1378,54.4,165,7850.127946986078,10.300000000000011,False,True,False,0,0,0,0,0
61,L47240,298.8,309.1,1393,52.6,167,7673.004953176686,10.300000000000011,False,True,False,0,0,0,0,0
62,M14921,298.8,309.0,1592,38.2,169,6368.469075749038,10.199999999999989,False,False,True,0,0,0,0,0
63,L47242,298.8,309.0,1829,22.9,172,4386.092695407341,10.199999999999989,False,True,False,0,0,0,0,0
64,M14923,298.9,309.0,1812,25.9,174,4914.581883569728,10.100000000000023,False,False,True,0,0,0,0,0
