UDI,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type_H,Type_L,Type_M
4059,302.0,310.9,1456,47.2,54,False,False,True
1222,297.0,308.3,1399,46.4,132,False,False,True
6896,301.0,311.6,1357,45.6,137,False,False,True
9864,298.9,309.8,1411,56.3,84,False,True,False
8712,297.1,308.5,1733,28.7,50,False,True,False
9343,298.3,308.9,1706,31.8,8,True,False,False
6965,300.7,311.0,1263,52.3,104,False,False,True
691,297.6,309.0,1413,40.2,51,True,False,False
5093,303.9,313.2,1608,40.6,79,False,False,True
461,297.3,308.6,1431,42.0,109,True,False,False
1410,298.9,310.1,1466,42.5,187,False,True,False
8569,297.9,308.6,1691,29.6,116,False,True,False
8268,299.2,310.7,1540,36.3,175,False,True,False
148,298.4,308.4,1515,40.1,179,False,True,False
6342,300.4,309.8,1421,47.2,0,False,False,True
1416,298.7,309.9,1617,33.0,203,False,True,False
388,297.7,308.7,1249,60.4,143,False,True,False
1408,298.9,310.0,1564,33.8,183,False,True,False
1514,298.1,308.7,1568,32.9,10,False,True,False
5161,304.1,313.2,1434,50.1,43,False,True,False
4201,302.5,311.1,1571,34.2,201,False,True,False
2121,299.2,308.8,1908,21.3,104,True,False,False
7344,299.6,310.2,1468,48.0,9,False,True,False
7988,301.0,312.2,1489,40.3,117,True,False,False
8227,299.1,310.5,1389,61.4,64,False,True,False
4537,302.4,310.2,1351,45.1,168,False,True,False
8226,299.1,310.5,1532,36.6,62,False,True,False
2920,300.6,309.6,1726,30.0,147,False,True,False
5765,301.7,311.2,1589,37.9,75,False,True,False
1103,296.8,307.5,1347,54.8,43,False,True,False
8039,300.7,311.8,1486,47.3,19,False,True,False
9546,299.6,311.0,1430,38.3,124,False,True,False
8916,297.1,308.3,1403,54.1,179,False,True,False
7059,300.7,310.6,1520,45.9,146,False,True,False
2427,298.9,308.2,1372,63.6,30,False,False,True
1420,298.7,309.8,1354,53.3,212,False,True,False
2218,299.7,309.1,1347,55.3,139,False,True,False
2963,300.7,309.5,1508,39.9,59,False,True,False
5446,303.0,312.8,1648,32.1,104,False,False,True
7753,300.4,311.7,1832,24.2,179,False,False,True
4006,302.0,311.1,1406,48.8,159,False,False,True
1873,298.3,308.1,1326,58.4,90,False,True,False
8249,298.9,310.3,1456,44.1,118,False,True,False
9413,298.0,308.5,1702,26.7,203,False,True,False
3746,302.6,311.4,1738,25.8,128,False,True,False
1194,297.1,308.2,1347,50.8,49,False,True,False
5209,303.8,312.7,1664,29.3,178,False,True,False
8440,298.6,309.8,1637,34.6,207,False,True,False
5776,301.6,311.1,1907,21.5,102,False,True,False
3727,302.3,311.2,1505,36.7,78,False,False,True
9286,298.2,309.0,1410,47.6,76,False,False,True
1216,296.8,307.9,1709,28.4,118,False,True,False
1192,297.2,308.3,1776,28.0,43,False,False,True
7179,300.2,310.2,1600,31.5,23,False,True,False
6809,301.0,310.7,1391,45.0,123,False,True,False
9903,298.7,309.3,1402,45.3,190,True,False,False
1919,298.1,307.9,1496,40.0,0,False,False,True
3461,301.5,310.3,1415,41.6,28,False,True,False
6151,301.1,311.1,1711,29.1,170,False,True,False
1064,296.8,307.8,1664,32.8,142,False,False,True
191,298.2,308.4,1477,49.9,72,False,True,False
474,297.4,309.0,1520,37.0,147,False,False,True
90,298.9,308.9,1487,39.5,30,False,False,True
2563,299.3,309.1,1551,39.1,147,False,True,False
9933,298.3,308.2,1663,28.4,67,False,True,False
6838,301.0,311.0,1423,38.6,199,False,False,True
5881,301.5,311.1,1434,49.6,129,False,True,False
7674,300.5,311.6,1476,39.1,199,False,False,True
6328,300.6,310.0,1425,49.5,174,False,True,False
6282,301.3,310.8,1455,41.2,56,False,False,True
