,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type_H,Type_L,Type_M
0,302.0,310.9,1456,47.2,54,False,False,True
1,297.0,308.3,1399,46.4,132,False,False,True
2,301.0,311.6,1357,45.6,137,False,False,True
3,298.9,309.8,1411,56.3,84,False,True,False
4,297.1,308.5,1733,28.7,50,False,True,False
5,298.3,308.9,1706,31.8,8,True,False,False
6,300.7,311.0,1263,52.3,104,False,False,True
7,297.6,309.0,1413,40.2,51,True,False,False
8,303.9,313.2,1608,40.6,79,False,False,True
9,297.3,308.6,1431,42.0,109,True,False,False
10,298.9,310.1,1466,42.5,187,False,True,False
11,297.9,308.6,1691,29.6,116,False,True,False
12,299.2,310.7,1540,36.3,175,False,True,False
13,298.4,308.4,1515,40.1,179,False,True,False
14,300.4,309.8,1421,47.2,0,False,False,True
15,298.7,309.9,1617,33.0,203,False,True,False
16,297.7,308.7,1249,60.4,143,False,True,False
17,298.9,310.0,1564,33.8,183,False,True,False
18,298.1,308.7,1568,32.9,10,False,True,False
19,304.1,313.2,1434,50.1,43,False,True,False
20,302.5,311.1,1571,34.2,201,False,True,False
21,299.2,308.8,1908,21.3,104,True,False,False
22,299.6,310.2,1468,48.0,9,False,True,False
23,301.0,312.2,1489,40.3,117,True,False,False
24,299.1,310.5,1389,61.4,64,False,True,False
25,302.4,310.2,1351,45.1,168,False,True,False
26,299.1,310.5,1532,36.6,62,False,True,False
27,300.6,309.6,1726,30.0,147,False,True,False
28,301.7,311.2,1589,37.9,75,False,True,False
29,296.8,307.5,1347,54.8,43,False,True,False
30,300.7,311.8,1486,47.3,19,False,True,False
31,299.6,311.0,1430,38.3,124,False,True,False
32,297.1,308.3,1403,54.1,179,False,True,False
33,300.7,310.6,1520,45.9,146,False,True,False
34,298.9,308.2,1372,63.6,30,False,False,True
35,298.7,309.8,1354,53.3,212,False,True,False
36,299.7,309.1,1347,55.3,139,False,True,False
37,300.7,309.5,1508,39.9,59,False,True,False
38,303.0,312.8,1648,32.1,104,False,False,True
39,300.4,311.7,1832,24.2,179,False,False,True
40,302.0,311.1,1406,48.8,159,False,False,True
41,298.3,308.1,1326,58.4,90,False,True,False
42,298.9,310.3,1456,44.1,118,False,True,False
43,298.0,308.5,1702,26.7,203,False,True,False
44,302.6,311.4,1738,25.8,128,False,True,False
45,297.1,308.2,1347,50.8,49,False,True,False
46,303.8,312.7,1664,29.3,178,False,True,False
47,298.6,309.8,1637,34.6,207,False,True,False
48,301.6,311.1,1907,21.5,102,False,True,False
49,302.3,311.2,1505,36.7,78,False,False,True
50,298.2,309.0,1410,47.6,76,False,False,True
51,296.8,307.9,1709,28.4,118,False,True,False
52,297.2,308.3,1776,28.0,43,False,False,True
53,300.2,310.2,1600,31.5,23,False,True,False
54,301.0,310.7,1391,45.0,123,False,True,False
55,298.7,309.3,1402,45.3,190,True,False,False
56,298.1,307.9,1496,40.0,0,False,False,True
57,301.5,310.3,1415,41.6,28,False,True,False
58,301.1,311.1,1711,29.1,170,False,True,False
59,296.8,307.8,1664,32.8,142,False,False,True
60,298.2,308.4,1477,49.9,72,False,True,False
61,297.4,309.0,1520,37.0,147,False,False,True
62,298.9,308.9,1487,39.5,30,False,False,True
63,299.3,309.1,1551,39.1,147,False,True,False
64,298.3,308.2,1663,28.4,67,False,True,False
65,301.0,311.0,1423,38.6,199,False,False,True
66,301.5,311.1,1434,49.6,129,False,True,False
67,300.5,311.6,1476,39.1,199,False,False,True
68,300.6,310.0,1425,49.5,174,False,True,False
69,301.3,310.8,1455,41.2,56,False,False,True
70,297.2,308.4,1863,26.0,110,False,False,True
71,298.8,308.8,1523,44.4,55,False,True,False
72,300.4,310.0,1769,26.1,38,False,True,False
73,301.6,311.1,1408,44.4,106,False,True,False
74,298.7,309.6,1424,50.4,32,False,False,True
75,301.5,310.7,1435,38.5,224,False,True,False
76,298.0,308.1,1552,36.6,190,False,False,True
77,302.2,311.6,1592,37.7,79,False,False,True
78,300.6,310.4,1494,47.3,118,False,True,False
79,297.5,309.4,1433,48.3,139,False,False,True
80,297.3,308.7,1491,40.2,112,False,True,False
81,300.1,311.5,2218,17.0,123,False,True,False
82,302.0,310.9,1679,29.0,222,True,False,False
83,299.2,308.4,1393,48.4,35,False,True,False
84,302.1,310.7,1364,47.8,213,False,False,True
85,300.0,309.2,1635,32.4,4,False,False,True
86,301.4,310.8,1431,44.3,21,False,True,False
87,300.8,310.3,1537,33.3,52,False,True,False
88,299.7,309.2,1572,32.8,142,True,False,False
89,296.8,307.9,1843,25.2,116,False,False,True
90,298.0,307.7,1547,36.8,186,True,False,False
91,301.0,310.9,1679,29.8,64,False,True,False
92,295.7,306.1,1343,54.4,119,False,True,False
93,299.3,310.7,1374,48.9,222,False,False,True
94,300.8,309.7,1373,45.4,179,False,True,False
95,298.6,309.7,1627,33.4,99,False,True,False
96,300.4,311.5,1492,44.6,149,False,True,False
97,300.4,310.5,2424,14.5,12,False,True,False
98,301.3,310.5,1365,47.7,70,False,True,False
99,300.0,309.6,1694,28.7,94,False,True,False
100,301.4,310.3,2203,16.6,169,False,True,False
101,302.4,310.9,1469,39.6,86,False,True,False
102,297.3,308.6,1584,29.4,141,False,False,True
103,304.2,313.6,1424,43.7,151,False,False,True
104,298.9,310.0,1719,27.3,58,False,True,False
105,297.4,309.2,1620,33.2,28,False,True,False
106,302.1,311.2,1454,46.8,0,False,True,False
107,301.9,310.9,1486,40.3,6,False,True,False
108,297.2,308.5,1550,41.5,125,False,True,False
109,298.0,308.9,1339,51.4,68,False,False,True
110,300.2,311.6,1999,21.0,19,False,True,False
111,296.9,308.0,1546,31.1,11,False,True,False
112,303.5,312.8,1404,55.8,84,True,False,False
113,297.2,308.5,1494,39.6,181,False,True,False
114,302.1,311.5,1987,20.1,21,False,True,False
115,300.6,310.8,1378,51.2,119,False,True,False
116,302.6,312.4,1398,41.6,40,False,True,False
117,298.7,309.7,1697,29.8,74,True,False,False
118,296.7,308.0,1451,50.7,197,False,True,False
119,300.5,311.9,1370,44.8,20,False,False,True
120,301.3,311.1,1560,35.3,55,False,True,False
121,300.9,311.0,1567,34.3,130,False,False,True
122,303.7,312.7,1395,53.9,123,False,True,False
123,301.0,310.9,1495,37.3,21,True,False,False
124,303.6,312.7,2174,17.6,37,False,False,True
125,297.5,309.1,1540,38.5,176,False,False,True
126,297.6,308.4,1569,38.3,93,False,False,True
127,302.3,311.7,2170,18.2,91,False,True,False
128,298.0,308.5,1713,25.3,124,False,True,False
129,302.7,312.4,1477,46.3,251,False,True,False
130,297.1,308.0,1559,38.8,229,True,False,False
131,300.3,309.2,1649,32.4,50,False,True,False
132,300.2,309.7,1448,36.8,14,False,True,False
133,298.3,309.4,1356,45.4,96,False,True,False
134,301.8,310.7,1597,30.8,74,False,True,False
135,299.0,310.2,1516,35.3,102,False,True,False
136,302.2,311.3,1510,37.1,10,False,False,True
137,299.2,308.4,1330,51.2,56,False,False,True
138,300.2,309.5,1500,45.7,89,False,False,True
139,301.6,310.7,1683,29.7,131,False,True,False
140,299.9,310.4,1419,45.7,178,False,True,False
141,298.6,309.0,1469,46.0,4,False,True,False
142,300.9,311.0,2235,15.8,156,False,True,False
143,301.9,310.8,1400,58.2,79,False,True,False
144,298.2,308.3,1448,43.3,199,False,False,True
145,298.2,308.9,1367,45.0,85,False,True,False
146,298.6,309.1,1587,37.3,203,False,False,True
147,300.5,309.9,1480,40.0,148,False,True,False
148,300.8,310.2,1850,22.8,33,False,True,False
149,298.1,308.6,1558,42.4,14,False,True,False
150,297.1,308.1,1446,36.6,227,False,True,False
151,302.3,311.8,1475,42.8,38,True,False,False
152,301.1,310.6,1611,35.2,70,False,True,False
153,300.4,310.5,1578,32.8,26,False,True,False
154,297.3,308.5,1710,27.7,138,False,False,True
155,302.5,310.5,1520,41.2,154,False,True,False
156,302.2,310.7,1601,33.0,166,False,False,True
157,297.2,308.6,1636,31.3,192,False,True,False
158,297.1,307.8,1636,30.3,90,False,True,False
159,296.2,307.2,1552,34.8,8,False,False,True
160,300.3,311.4,1318,52.7,13,False,True,False
161,299.8,309.2,1400,42.6,210,False,True,False
162,298.6,309.5,1420,50.4,82,True,False,False
163,301.9,310.8,1906,21.7,62,False,True,False
164,302.1,310.8,1565,35.3,6,False,True,False
165,302.4,311.1,1905,20.9,77,False,True,False
166,298.6,309.8,1419,44.9,115,False,False,True
167,296.9,307.8,1285,52.1,100,False,True,False
