UDI,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type_H,Type_L,Type_M
4498,302.5,310.3,1523,36.0,72,False,True,False
950,295.6,306.3,1636,32.7,56,False,True,False
6378,300.1,309.6,1541,37.0,96,False,True,False
650,297.7,309.2,1732,28.8,152,False,False,True
5180,304.0,313.1,1450,42.8,101,False,False,True
5737,302.4,311.9,1439,36.6,212,False,False,True
247,297.9,308.1,1585,33.5,212,False,True,False
7564,300.4,311.2,1831,23.4,133,False,False,True
9902,298.7,309.2,1423,48.9,187,False,False,True
4379,301.9,309.6,1385,45.8,217,False,False,True
75,298.9,309.0,1601,32.3,202,False,True,False
8918,297.1,308.2,1529,37.9,183,False,False,True
5770,301.7,311.3,1348,51.0,87,False,True,False
8822,297.4,308.7,1623,33.8,127,True,False,False
2580,299.3,309.1,1795,24.7,187,False,True,False
2551,299.4,309.3,1366,48.4,116,False,True,False
1240,297.2,308.5,1482,39.3,187,True,False,False
2294,299.5,308.9,1520,38.3,122,False,True,False
6812,300.9,310.6,1504,46.4,129,False,True,False
4667,303.3,311.5,1569,36.6,47,False,False,True
3822,302.3,310.9,1596,33.5,104,False,True,False
8433,298.8,310.0,1537,39.9,190,False,True,False
2169,299.5,309.1,1420,49.5,5,False,False,True
9297,298.2,309.0,1524,39.1,100,True,False,False
9645,299.3,310.4,1629,32.6,177,False,True,False
279,298.0,308.0,1620,29.4,75,False,False,True
6411,300.4,310.1,1544,41.9,184,False,True,False
1238,297.1,308.4,1502,37.3,181,False,False,True
7585,300.4,311.2,1472,37.3,187,False,True,False
805,296.9,307.8,1544,37.6,109,False,False,True
2090,299.5,309.3,1941,22.5,18,False,True,False
6396,300.1,309.6,1376,52.1,147,False,False,True
1633,297.9,307.9,1426,43.6,89,False,True,False
7637,300.4,311.5,1704,29.7,103,False,True,False
9384,297.5,308.1,1548,38.2,117,True,False,False
7690,300.6,311.7,1432,39.2,2,False,True,False
4367,302.0,309.9,1388,51.4,183,False,True,False
3018,300.5,309.8,1305,51.7,202,False,True,False
7805,299.9,311.4,1480,44.9,108,False,False,True
2734,299.7,309.2,1422,40.4,140,False,True,False
3550,301.8,310.9,1299,60.4,48,False,False,True
3922,302.7,311.5,1494,41.4,149,False,True,False
4482,302.6,310.4,1544,35.1,25,False,False,True
1696,298.0,307.6,1509,41.6,33,False,True,False
1133,296.8,307.9,1271,61.4,125,False,True,False
2211,299.7,309.2,1401,54.1,118,False,True,False
8807,297.4,308.5,1692,34.3,83,False,True,False
4006,302.0,311.1,1406,48.8,159,False,False,True
6377,300.0,309.6,1694,28.7,94,False,True,False
2277,299.3,308.7,1393,54.2,80,False,True,False
2618,299.4,309.1,1670,35.9,68,False,True,False
5416,302.6,312.4,1410,50.3,33,False,False,True
9471,298.6,309.4,1439,47.1,149,True,False,False
4950,303.8,312.7,1555,33.4,128,False,False,True
2125,299.2,308.9,1430,39.1,117,False,True,False
6327,300.6,310.0,1455,40.4,172,False,True,False
6141,300.8,310.7,1589,34.3,144,False,True,False
9102,297.3,308.2,1653,31.4,9,True,False,False
3111,299.9,309.2,1525,33.2,0,True,False,False
7659,300.4,311.6,1359,55.4,160,False,False,True
2584,299.2,308.9,1342,50.8,195,False,True,False
7291,300.3,310.6,1806,24.4,88,False,True,False
2489,298.9,308.7,1356,50.7,185,False,True,False
1019,296.3,307.2,1291,58.6,29,False,True,False
4050,301.8,310.8,1505,41.2,33,False,True,False
854,296.3,307.3,1444,49.0,13,False,True,False
7882,300.8,312.4,1493,39.1,79,False,True,False
7623,300.6,311.6,1473,31.5,69,False,False,True
2323,299.2,308.7,1514,41.9,196,False,True,False
3559,301.7,310.6,1743,26.2,71,False,True,False
8093,300.2,311.6,1513,40.8,157,False,False,True
2344,299.1,308.3,1305,61.4,17,False,True,False
5927,300.2,310.1,1440,51.1,41,False,True,False
2848,300.4,309.3,1525,39.6,202,False,True,False
5804,301.5,310.9,1671,31.1,170,False,True,False
1203,297.0,308.1,1355,51.4,76,False,False,True
3483,301.9,310.8,1540,37.6,83,False,True,False
4015,302.1,311.0,1740,30.8,182,False,True,False
1246,297.1,308.4,1588,33.4,204,False,False,True
5747,302.1,311.5,1635,31.6,23,False,False,True
9438,298.1,308.7,1527,43.0,56,False,False,True
908,295.6,306.1,1669,29.0,161,False,False,True
6551,301.3,310.7,1516,46.0,119,False,True,False
6859,301.0,311.2,1467,45.4,36,False,True,False
5240,303.7,313.0,1753,29.0,42,False,True,False
714,297.4,308.6,1439,46.4,114,False,True,False
5888,301.4,311.1,1445,41.4,144,True,False,False
4474,302.7,310.5,1551,35.9,6,False,True,False
3782,302.3,310.8,1465,43.8,7,False,True,False
3587,301.8,310.5,1593,34.9,139,False,True,False
7358,299.6,310.1,1487,42.9,42,False,True,False
1549,298.3,308.8,1349,52.1,104,False,False,True
4799,303.5,312.5,1457,46.4,168,False,True,False
6357,300.1,309.7,1420,48.4,36,False,False,True
2358,299.3,308.5,1772,26.1,52,False,True,False
4190,302.4,310.9,1560,31.8,172,False,True,False
3262,301.3,310.1,1469,39.7,179,True,False,False
9121,297.4,308.4,1525,38.7,62,False,True,False
4593,302.9,311.1,1555,33.9,96,False,True,False
7123,300.9,310.4,1788,27.8,90,False,True,False
7988,301.0,312.2,1489,40.3,117,True,False,False
317,297.8,308.4,1714,33.2,177,False,True,False
1460,299.0,310.3,1472,36.1,97,False,True,False
2266,299.2,308.4,1330,51.2,56,False,False,True
849,296.3,307.4,1465,47.1,215,False,True,False
431,297.5,308.6,1596,37.1,30,False,True,False
3870,302.7,311.7,1480,45.2,8,False,True,False
6983,300.7,311.1,1440,43.0,148,False,True,False
1841,297.7,307.2,1405,43.7,2,False,False,True
104,298.8,308.8,1441,40.5,63,False,False,True
4388,302.0,309.8,1532,39.4,2,False,True,False
5999,300.4,310.2,1613,36.9,231,False,False,True
253,298.0,308.2,1620,35.8,5,False,True,False
1418,298.7,309.9,1541,38.5,208,False,True,False
1722,298.2,307.7,1688,32.4,91,False,True,False
9492,299.0,309.7,1489,40.7,212,False,False,True
8851,297.6,309.0,1491,43.2,7,False,True,False
4104,302.0,310.4,1448,43.4,167,False,True,False
2980,300.5,309.5,1542,38.5,108,False,True,False
2440,299.1,308.4,1693,31.6,65,False,True,False
7217,300.0,309.9,1651,28.1,114,False,False,True
5249,303.5,313.0,1902,21.6,60,False,False,True
8698,297.3,308.6,1505,33.5,14,False,True,False
1219,297.0,308.2,1702,30.7,124,False,False,True
5141,304.3,313.6,1585,32.1,202,False,False,True
7742,300.5,312.0,1478,39.0,153,False,True,False
9452,298.0,308.7,1536,39.6,99,True,False,False
7384,299.7,310.4,1410,44.5,105,False,False,True
9359,298.2,308.7,1407,45.1,49,False,True,False
699,297.6,308.8,1539,40.2,72,False,True,False
969,295.9,306.7,1547,40.9,107,False,True,False
2132,299.4,309.1,1432,45.4,137,False,True,False
3567,301.8,310.6,1295,62.3,91,False,True,False
3996,302.3,311.3,1621,31.6,135,False,True,False
5950,300.7,310.8,1506,44.0,97,False,False,True
407,297.4,308.6,1439,51.9,188,False,True,False
9575,299.7,310.8,1418,46.6,197,True,False,False
9484,298.9,309.6,1546,35.3,190,True,False,False
5264,303.5,312.8,1877,22.3,96,False,True,False
4304,301.7,310.2,1435,48.1,12,False,True,False
6328,300.6,310.0,1425,49.5,174,False,True,False
6815,300.8,310.6,1465,44.1,136,True,False,False
